date,SENTIMENT_SCORE,link,description,SENTIMENT,NAMED_ENTITIES,title,KEY_PHRASES
"Fri, 11 Nov 2022",0.630183756351471,https://www.mckinsey.com/industries/aerospace-and-defense/our-insights/inflation-how-defense-companies-can-support-national-security,A solid understanding of risk exposure and the contract portfolio can help defense companies support national-security interests.,NEUTRAL,[],Inflation: How defense companies can support national security,"[A solid understanding, risk exposure, the contract portfolio, defense companies, national-security interests]"
"Fri, 04 Nov 2022",0.9760702252388,https://www.mckinsey.com/industries/advanced-electronics/our-insights/the-titanium-economy-capturing-opportunities-in-the-energy-transition,Industrial technology companies have a key role in the sustainability marketplace.,NEUTRAL,[],The Titanium Economy: Capturing opportunities in the energy transition,"[Industrial technology companies, a key role, the sustainability marketplace]"
"Thu, 03 Nov 2022",0.969222366809845,https://www.mckinsey.com/industries/oil-and-gas/our-insights/refining-in-the-energy-transition-through-2040,"The size of the global refining industry varies dramatically across different energy transition scenarios by 2040. Assumptions on electric-vehicle penetration, policy commitments, and rationalization behavior are key drivers of the difference in outcomes.",NEUTRAL,[2040],Refining in the energy transition through 2040,"[The size, the global refining industry, different energy transition scenarios, 2040, Assumptions, electric-vehicle penetration, policy commitments, rationalization behavior, key drivers, the difference, outcomes]"
"Fri, 04 Nov 2022",0.5747066140174866,https://www.mckinsey.com/industries/private-equity-and-principal-investors/our-insights/chief-performance-officers-can-be-a-secret-ingredient-for-private-equity-success-heres-why,"Operating groups gain an edge when they add a CPO, but these roles are still rare in private equity firms. That should change.",NEUTRAL,[],Chief performance officers can be a secret ingredient for private equity success. Here’s why,"[Operating groups, an edge, a CPO, these roles, private equity firms]"
"Thu, 03 Nov 2022",0.8989072442054749,https://www.mckinsey.com/featured-insights/future-of-asia/videos/the-energy-transition-is-real-an-interview-with-acens-eric-francia,How does the head of one of Southeast Asia’s leading renewable-energy company view its role in the net-zero transition?,NEUTRAL,[Southeast Asia],“The energy transition is real”—an interview with ACEN’s Eric Francia,"[the head, Southeast Asia, ’s leading renewable-energy company, its role, the net-zero transition]"
"Mon, 07 Nov 2022 17:23 EST",0.9582585692405701,http://www.nasa.gov/press-release/nasa-updates-coverage-of-jpss-2-weather-satellite-loftid-tech-demo,NASA will provide coverage of the upcoming prelaunch and launch activities for the National Oceanic and Atmospheric Administration’s (NOAA’s) Joint Polar Satellite System-2 (JPSS-2) mission and NASA’s Low-Earth Orbit Flight Test of an Inflatable Decelerator (LOFTID) technology demonstration.,NEUTRAL,"[NASA, National Oceanic and Atmospheric Administration, NOAA, Joint Polar Satellite System-2, JPSS-2, NASA, Flight Test, an, Inflatable Decelerator, LOFTID]","NASA Updates Coverage of JPSS-2 Weather Satellite, LOFTID Tech Demo","[NASA, coverage, the upcoming prelaunch and launch activities, the National Oceanic and Atmospheric Administration, NOAA, Polar, JPSS-2, mission, NASA, ’s Low-Earth Orbit Flight Test, LOFTID, technology demonstration]"
"Fri, 04 Nov 2022 14:52 EDT",0.9418752789497375,http://www.nasa.gov/press-release/nasa-leaders-to-participate-in-annual-global-climate-conference,"NASA will participate in the 27th United Nations Climate Change Conference of the Parties (COP27) in Sharm El Sheikh, Egypt, which begins Sunday, Nov. 6, and runs through Friday, Nov. 18. The COP27 summit brings together countries from around the world to increase ambition by implementing existing goals and strengthening commitments to solutions th",NEUTRAL,"[NASA, 27th United Nations Climate Change Conference of the Parties, COP27, Sharm El Sheikh, Egypt, Sunday, Nov. 6, Friday, Nov. 18, COP27]",NASA Leaders to Participate in Annual Global Climate Conference,"[NASA, the 27th United Nations Climate Change Conference, the Parties, COP27, Sharm El Sheikh, Egypt, Sunday, Nov. 6, Friday, Nov. 18, The COP27 summit, countries, the world, ambition, existing goals, commitments, solutions]"
"Wed, 09 Nov 2022",0.9555220007896423,https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/scaling-up-how-founder-ceos-and-teams-can-go-beyond-aspiration-to-ascent,"For many start-ups, the challenge is no longer about securing capital—it’s about learning how to restructure themselves as fast as their products or organizations can evolve.",NEUTRAL,[many start-ups],Scaling up: How founder CEOs and teams can go beyond aspiration to ascent,"[many start-ups, the challenge, capital—it, their products or organizations]"
"Mon, 07 Nov 2022",0.9515488147735596,https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/more-for-less-five-ways-to-lower-cloud-costs-without-destroying-value,Companies can often find significant savings in their cloud programs—if they know where to look.,NEUTRAL,[],More for less: Five ways to lower cloud costs without destroying value,"[Companies, significant savings, their cloud programs—if]"
"Tue, 08 Nov 2022",0.9316869378089905,https://www.mckinsey.com/featured-insights/future-of-asia/nurturing-supply-and-demand-how-asias-energy-players-can-accelerate-green-growth,"As Asia grapples with climate change, leaders working at the intersection of customer experience, sustainability and the energy transition will need to respond to five major shifts that will help to smooth the path to net zero. Organizations with a sound understanding of balancing the supply-demand equation between changing consumer needs and energy transition requirements will be in prime position to identify and foster new green-growth opportunities.",NEUTRAL,"[Asia, five major shifts, zero]",Nurturing supply and demand: How Asia’s energy players can accelerate green growth,"[Asia, climate change, leaders, the intersection, customer experience, sustainability, the energy transition, five major shifts, the path, net zero, Organizations, a sound understanding, the supply-demand equation, consumer needs and energy transition requirements, prime position, new green-growth opportunities]"
"Tue, 08 Nov 2022",0.6130397319793701,https://www.mckinsey.com/capabilities/risk-and-resilience/our-insights/a-new-approach-to-fighting-fraud-while-enhancing-customer-experience,Fraud has escalated as digital adoption has increased. The situation requires that organizations simultaneously combat fraud and provide customers with a seamless digital experience.,NEUTRAL,[],A new approach to fighting fraud while enhancing customer experience,"[Fraud, digital adoption, The situation, organizations, fraud, customers, a seamless digital experience]"
"Tue, 08 Nov 2022",0.5715951323509216,https://www.mckinsey.com/capabilities/strategy-and-corporate-finance/our-insights/xpos-brad-jacobs-on-building-businesses-through-m-and-a,"Having done hundreds of deals, the leader of the logistics company explains what he’s learned matters most when making acquisitions.",POSITIVE,[hundreds of deals],XPO’s Brad Jacobs on building businesses through M&A,"[hundreds, deals, the leader, the logistics company, matters, acquisitions]"
"Fri, 04 Nov 2022",0.5188819766044617,https://www.mckinsey.com/featured-insights/mckinsey-on-books/author-talks-what-poker-pro-annie-duke-can-teach-you-about-quitting-on-time,"Ever been told to quit while you’re ahead, or that winners never quit? Poker player-turned decision strategist Annie Duke explains why this advice is costing you time and money.",NEGATIVE,[Annie Duke],Author Talks: What poker pro Annie Duke can teach you about quitting on time,"[winners, Poker player-turned decision strategist Annie Duke, this advice, time and money]"
"Fri, 04 Nov 2022",0.8237119913101196,https://www.mckinsey.com/industries/aerospace-and-defense/our-insights/how-will-us-funding-for-defense-technology-innovation-evolve,Companies that focus on defense technology innovation will benefit from a strong understanding of the US Department of Defense budget.,NEUTRAL,[US Department of Defense],How will US funding for defense technology innovation evolve?,"[Companies, defense technology innovation, a strong understanding, the US Department, Defense budget]"
"Fri, 04 Nov 2022",0.8760377168655396,https://www.mckinsey.com/br/en/our-insights/all-insights/the-green-hidden-gem-brazils-opportunity-to-become-a-sustainability-powerhouse,Brazil could potentially become a key player in the global economy’s decarbonization process while driving sustainable inclusive growth.,NEUTRAL,[Brazil],The green hidden gem – Brazil’s opportunity to become a sustainability powerhouse,"[Brazil, a key player, the global economy, ’s decarbonization process, sustainable inclusive growth]"
"Wed, 02 Nov 2022",0.7886657118797302,https://www.mckinsey.com/capabilities/operations/our-insights/accelerating-green-growth-in-the-built-environment,"The industries that make up the built environment are highly fragmented and slow to change. Creating green growth requires shifts in how players design, build, operate, and decommission assets.",NEUTRAL,[],Accelerating green growth in the built environment,"[The industries, the built environment, green growth, shifts, players, assets]"
"Fri, 11 Nov 2022 11:43 EST",0.9976634979248047,http://www.nasa.gov/press-release/nasa-to-brief-status-of-artemis-i-moon-mission-today,NASA to Brief Status of Artemis I Moon Mission Today,NEUTRAL,"[NASA, Artemis, Today]",NASA to Brief Status of Artemis I Moon Mission Today,"[NASA, Brief Status, Artemis I Moon]"
"Fri, 04 Nov 2022 16:08 EDT",0.8542649745941162,http://www.nasa.gov/press-release/nasa-usaid-partnership-strengthens-global-development,"NASA and the U.S. Agency for International Development (USAID) signed an agreement Friday strengthening the collaboration between the two agencies, including efforts that advance the federal response to climate change.",NEUTRAL,"[NASA, U.S. Agency for International Development, USAID, Friday, two agencies]","NASA, USAID Partnership Strengthens Global Development","[NASA, the U.S. Agency, International Development, USAID, an agreement, Friday, the collaboration, the two agencies, efforts, the federal response, climate change]"
"Thu, 10 Nov 2022",0.9604046940803528,https://www.mckinsey.com/industries/agriculture/our-insights/how-agtech-startups-can-survive-a-capital-drought,"Although agtech investment has fallen from last year’s peak, the surge in capital for start-ups over the past decade has created opportunities for smaller companies.",NEUTRAL,"[last year, past, decade]",How agtech start-ups can survive a capital drought,"[agtech investment, last year, ’s peak, the surge, capital, start-ups, the past decade, opportunities, smaller companies]"
"Wed, 09 Nov 2022",0.8950974345207214,https://www.mckinsey.com/industries/travel-logistics-and-infrastructure/our-insights/logistics-disruptors-plus-ceo-david-liu-on-why-ai-should-take-the-wheel-in-the-trucking-industry,David Liu on Plus’s road map to roll out autonomous trucks and the roadblocks that stand in their way.,NEUTRAL,"[David Liu, Plus]",Logistics Disruptors: Plus CEO David Liu on why AI should take the wheel in the trucking industry,"[David Liu, ’s road map, autonomous trucks, the roadblocks, their way]"
"Thu, 10 Nov 2022",0.9002785086631775,https://www.mckinsey.com/featured-insights/sustainable-inclusive-growth/sustainable-and-inclusive-growth-a-weekly-briefing,"Progress in renewable energy is being slowed by a dearth of available, qualified workers. Our weekly digest of McKinsey insights explores that topic and more.",NEUTRAL,[McKinsey],Sustainable and inclusive growth: A weekly briefing,"[Progress, renewable energy, a dearth, available, qualified workers, Our weekly digest, McKinsey insights, that topic]"
"Wed, 02 Nov 2022",0.8121753334999084,https://www.mckinsey.com/capabilities/operations/our-insights/accelerating-capital-projects-to-secure-advantages-in-the-net-zero-transition,Ambitious net-zero deadlines require speedy project completion. Here’s how leaders of capital projects can strike a balance between the costs and benefits of accelerating delivery.,NEUTRAL,[],Accelerating capital projects to secure advantages in the net-zero transition,"[Ambitious net-zero deadlines, speedy project completion, leaders, capital projects, a balance, the costs and benefits, delivery]"
"Wed, 02 Nov 2022",0.7828414440155029,https://www.mckinsey.com/capabilities/strategy-and-corporate-finance/our-insights/why-bad-strategy-is-a-social-contagion,Author and academic Richard Rumelt explains how to develop strategies that aim to solve problems rather than simply state ambitions.,NEUTRAL,[Richard Rumelt],Why bad strategy is a ‘social contagion’,"[Author, academic Richard Rumelt, strategies, problems, state ambitions]"
"Tue, 08 Nov 2022",0.9780345559120178,https://www.mckinsey.com/mhi/our-insights/prioritizing-brain-health-scaling-what-works-to-add-years-to-life-and-life-to-years,How many more years can be spent in optimal health if our society viewed mental and substance-use disorders as we do other conditions? The McKinsey Health Institute and the Healthy Brains Global Initiative collaboration sought to answer this question through a series of interactives.,NEUTRAL,"[McKinsey Health Institute, Healthy Brains Global Initiative]",Prioritizing brain health: Scaling what works to add years to life and life to years,"[How many more years, optimal health, our society, mental and substance-use disorders, other conditions, The McKinsey Health Institute, the Healthy Brains Global Initiative collaboration, this question, a series, interactives]"
"Tue, 08 Nov 2022",0.5419946312904358,https://www.mckinsey.com/capabilities/risk-and-resilience/our-insights/four-key-capabilities-to-strengthen-a-fraud-management-system,"In the face of new fraud methods and increasing incidence of fraud, companies must continually identify and address vulnerabilities. Success will require core capabilities in four areas.",NEUTRAL,[four areas],Four key capabilities to strengthen a fraud management system,"[the face, new fraud methods, increasing, incidence, fraud, companies, vulnerabilities, Success, core capabilities, four areas]"
"Wed, 02 Nov 2022",0.9492359757423401,https://www.mckinsey.com/industries/travel-logistics-and-infrastructure/our-insights/shipping-rates-are-finally-falling-will-they-reach-prepandemic-levels,Steve Saxon explores why container rates have fallen and how shippers and carriers can safeguard themselves against future uncertainty.,NEUTRAL,[Steve Saxon],Shipping rates are finally falling. Will they reach prepandemic levels?,"[Steve Saxon, container rates, shippers and carriers, future uncertainty]"
"Mon, 07 Nov 2022",0.7558550834655762,https://www.mckinsey.com/featured-insights/mckinsey-on-books/author-talks-in-defense-of-big-data,"Public discourse is often wary of automation, AI, and data collection, but along with the risks of digital technology comes its power to address climate change and prevent discrimination.",NEUTRAL,[],Author Talks: In defense of big data,"[Public discourse, automation, AI, data collection, the risks, digital technology, its power, climate change, discrimination]"
"Mon, 07 Nov 2022 12:30 EST",0.9952523708343506,http://www.nasa.gov/press-release/nasa-administrator-names-glenn-research-center-director,"NASA Administrator Bill Nelson named Dr. Jimmy Kenyon director of the agency’s Glenn Research Center in Cleveland, effective immediately.",NEUTRAL,"[NASA, Administrator, Bill Nelson, Jimmy Kenyon, Glenn Research Center, Cleveland]",NASA Administrator Names Glenn Research Center Director,"[NASA Administrator Bill Nelson, Dr. Jimmy Kenyon director, the agency, ’s Glenn Research Center, Cleveland]"
"Fri, 04 Nov 2022 13:42 EDT",0.9910959005355835,http://www.nasa.gov/press-release/nasa-sets-coverage-for-artemis-i-moon-mission-launch,"NASA is targeting Monday, Nov. 14, for the launch of the Artemis I Moon mission during a 69-minute launch window that opens at 12:07 a.m. EST.",NEUTRAL,"[NASA, Monday, Nov. 14, Artemis, Moon, 69-minute, 12:07 a.m. EST]",NASA Sets Coverage for Artemis I Moon Mission Launch,"[NASA, Monday, Nov. 14, the launch, the Artemis I Moon mission, a 69-minute launch window, 12:07 a.m. EST]"
"Fri, 11 Nov 2022",0.8775461912155151,https://www.mckinsey.com/mhi/our-insights/living-longer-in-better-health-six-shifts-needed-for-healthy-aging,"As many individuals live well past retirement age, stakeholders are examining how interventions, data, and innovation can transform aging.",NEUTRAL,[many individuals],Living longer in better health: Six shifts needed for healthy aging,"[many individuals, retirement age, stakeholders, interventions, data, and innovation, aging]"
"Thu, 10 Nov 2022",0.8361619114875793,https://www.mckinsey.com/capabilities/strategy-and-corporate-finance/our-insights/global-economics-intelligence-executive-summary-october-2022,"Growth rebounds in the United States and China; eurozone inflation reaches new heights as tightening continues; energy, climate reports paint a sober picture.",NEUTRAL,"[United States, China]","Global Economics Intelligence executive summary, October 2022","[Growth, the United States and China, eurozone inflation, new heights, tightening, energy,, climate reports, a sober picture]"
"Wed, 09 Nov 2022",0.9239029288291931,https://www.mckinsey.com/capabilities/strategy-and-corporate-finance/our-insights/how-to-make-investments-in-start-ups-pay-off,"Both large corporations and start-ups have much to gain from collaboration, but corporate venture capital investments need a clear strategy, focus, and operating model.",NEUTRAL,[],How to make investments in start-ups pay off,"[Both large corporations and start-ups, collaboration, corporate venture capital investments, a clear strategy, focus, operating model]"
"Fri, 04 Nov 2022",0.9075344800949097,https://www.mckinsey.com/industries/electric-power-and-natural-gas/our-insights/renewable-energy-development-in-a-net-zero-world-overcoming-talent-gaps,The rapid growth of renewables depends on the industry finding enough employees with the right skills and experience.,NEUTRAL,[],Renewable-energy development in a net-zero world: Overcoming talent gaps,"[The rapid growth, renewables, the industry, enough employees, the right skills, experience]"
"Thu, 10 Nov 2022",0.784568190574646,https://www.mckinsey.com/industries/technology-media-and-telecommunications/our-insights/building-a-world-class-dutch-start-up-ecosystem,A strategy to both increase the number of start-ups and facilitate their ability to scale can elevate the Netherlands to a global leader in the world of entrepreneurship ecosystems.,NEUTRAL,[Netherlands],Building a world-class Dutch start-up ecosystem,"[A strategy, the number, start-ups, their ability, the Netherlands, a global leader, the world, entrepreneurship ecosystems]"
"Tue, 08 Nov 2022",0.5359136462211609,https://www.mckinsey.com/featured-insights/the-mckinsey-crossword/november-8-2022,"Sharpen your problem-solving skills the McKinsey way, with our weekly crossword. Each puzzle is created with the McKinsey audience in mind, and includes a subtle (and sometimes not-so-subtle) business theme for you to find. Answers that are directionally correct may not cut it if you’re looking for a quick win.",POSITIVE,"[McKinsey, Each puzzle, McKinsey]",The McKinsey Crossword: Non-Gray Anatomy | No. 101,"[your problem-solving skills, the McKinsey way, our weekly crossword, Each puzzle, the McKinsey audience, mind, and sometimes not-so-subtle, business theme, Answers, a quick win]"
"Tue, 01 Nov 2022",0.44317880272865295,https://www.mckinsey.com/mgi/overview/in-the-news/meet-the-us-workers-who-are-going-it-alone,"A large and growing slice of the American workforce has no employer-provided health care or 401(k)s to build retirement savings, and they have to pay twice as much into Social Security as their peers. These individuals don’t get paid time off and must cover their own business expenses, and their earnings can be subject to unpredictable swings. But here’s the kicker: It turns out that this group is more optimistic than the rest of the US workforce, writes Kweilin Ellingrud in Forbes.",MIXED,"[American, twice, US, Kweilin Ellingrud, Forbes]",Meet The US Workers Who Are Going It Alone—and Feeling Good About It,"[A large and growing slice, the American workforce, no employer-provided health care, 401(k, retirement savings, twice as much, Social Security, their peers, These individuals, time, their own business expenses, their earnings, unpredictable swings, the kicker, this group, the rest, the US workforce, Kweilin Ellingrud, Forbes]"
"Tue, 08 Nov 2022",0.9606897234916687,https://www.mckinsey.com/capabilities/growth-marketing-and-sales/our-insights/fashion-forward-in-the-metaverse,"Irene-Marie Seelig, co-founder and CEO of AnamXR, says the metaverse is tailor-made for fashion brands looking to help people clothe their digital personas. An edited version of the conversation from our ‘Value creation in the metaverse’ report follows.",NEUTRAL,"[Irene-Marie Seelig, CEO, AnamXR, metaverse, Value creation in the metaverse]",Fashion-forward in the metaverse,"[Irene-Marie Seelig, co-founder and CEO, AnamXR, the metaverse, fashion brands, people, their digital personas, An edited version, the conversation, ‘Value creation, the metaverse, ’ report]"
"Tue, 01 Nov 2022",0.9195804595947266,https://www.mckinsey.com/capabilities/operations/our-insights/smart-scheduling-how-to-solve-workforce-planning-challenges-with-ai,"AI-driven schedule optimizers can alleviate age-old scheduling headaches—reducing employee downtime, improving productivity, and minimizing 
schedule-related service disruptions.",NEUTRAL,[],Smart scheduling: How to solve workforce-planning challenges with AI,"[AI-driven schedule optimizers, age-old scheduling headaches—reducing, employee downtime, productivity, schedule-related service disruptions]"
"Fri, 04 Nov 2022",0.8212942481040955,https://www.mckinsey.com/industries/semiconductors/our-insights/keeping-the-semiconductor-industry-on-the-path-to-net-zero,"Growing demand for semiconductors means industry emissions are likely to increase. Semiconductor companies are making sustainability commitments, but more is needed to achieve net zero.",NEUTRAL,[net zero],Keeping the semiconductor industry on the path to net zero,"[Growing demand, semiconductors, industry emissions, Semiconductor companies, sustainability commitments, net zero]"
"Mon, 07 Nov 2022",0.9691076874732971,https://www.mckinsey.com/featured-insights/lifting-europes-ambition/videos-and-podcasts/imperatives-for-leaders-at-cop27,Helsinki Partner Anna Granskog discusses what leaders can do to make the most of this year’s climate summit.,NEUTRAL,"[Helsinki, Anna Granskog, this year]",Imperatives for leaders at COP27,"[Helsinki Partner Anna Granskog, leaders, the most, this year, ’s climate summit]"
"Thu, 03 Nov 2022",0.9867671132087708,https://www.mckinsey.com/featured-insights/leadership/its-important-to-bring-the-spirit-of-emergencies-to-the-long-term,"In the third episode of our series The Quarterly Interview: Provocations to Ponder, chef and nonprofit founder José Andrés talks about what emergencies can teach us about solving long-term problems and being effective in two different spheres.",NEUTRAL,"[third episode, The Quarterly Interview: Provocations to Ponder, chef, José Andrés, two different spheres]",‘It’s important to bring the spirit of emergencies to the long term’,"[the third episode, our series, The Quarterly Interview, Provocations, Ponder, chef and nonprofit founder José Andrés, emergencies, long-term problems, two different spheres]"
